SK_ID_CURR,APARTMENTS_MODE,FLAG_DOCUMENT_6,FLAG_OWN_REALTY,NONLIVINGAREA_MEDI,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_18,NAME_TYPE_SUITE,FLOORSMAX_MEDI,AMT_REQ_CREDIT_BUREAU_DAY
100004,,0,Y,,0,0,0,Unaccompanied,,0.0
100006,,0,Y,,1,0,0,Unaccompanied,,
100012,,0,Y,,0,0,0,Unaccompanied,,
100014,,0,Y,,1,0,0,Unaccompanied,,0.0
100015,,1,Y,,0,0,0,Children,,0.0
100017,0.1502,0,N,0.0,1,0,0,Unaccompanied,0.3333,0.0
100018,0.3561,0,Y,0.1022,1,0,0,Unaccompanied,0.6667,
100019,,0,Y,,0,0,0,Family,,0.0
100030,0.0735,0,Y,0.0,1,0,0,Unaccompanied,0.1667,0.0
100032,,0,Y,,1,0,0,Family,,0.0
100034,0.1534,0,Y,0.0063,0,0,0,Unaccompanied,0.3333,
100035,0.0126,0,Y,0.0,1,0,0,Unaccompanied,0.0417,0.0
100040,0.084,0,Y,0.0,1,0,0,Unaccompanied,0.1667,
100043,,0,Y,,1,0,0,Unaccompanied,,0.0
100045,,0,Y,,1,0,0,Unaccompanied,0.3333,0.0
100048,,0,Y,,1,0,0,Unaccompanied,,0.0
100049,,0,N,,1,0,0,Unaccompanied,,0.0
100051,,0,Y,,1,0,0,Unaccompanied,,
100055,,0,N,,1,0,0,Unaccompanied,,0.0
100058,0.0441,0,Y,0.0163,1,0,1,Unaccompanied,0.375,0.0
100059,0.541,0,Y,0.0498,1,0,0,Unaccompanied,0.4583,0.0
100060,0.0231,0,N,0.023,1,0,0,Unaccompanied,0.0417,0.0
100062,0.2206,0,N,0.0154,1,0,0,Unaccompanied,0.3333,0.0
100063,0.1208,0,Y,0.0002,1,0,0,Unaccompanied,0.3333,0.0
100069,,0,Y,,1,0,0,Unaccompanied,,0.0
100071,0.0893,0,Y,0.0214,1,0,0,Family,0.4583,0.0
100078,,0,Y,,1,0,0,Unaccompanied,,0.0
100086,,0,Y,,1,0,0,Unaccompanied,,0.0
100088,,0,N,,0,0,0,Unaccompanied,,0.0
100098,,0,N,,0,0,0,Unaccompanied,,
100100,,0,Y,,1,0,0,Unaccompanied,,0.0
100103,,0,Y,,1,0,0,Unaccompanied,,0.0
100104,,0,Y,,1,0,0,Unaccompanied,,0.0
100105,,0,Y,,1,0,0,Unaccompanied,,0.0
100112,,0,Y,,1,0,0,Family,,0.0
100113,,0,N,,1,0,0,Unaccompanied,,0.0
100114,,0,Y,,1,0,0,Unaccompanied,,0.0
100119,,0,Y,,0,0,0,Unaccompanied,,0.0
100120,,0,N,,1,0,0,Unaccompanied,,0.0
100121,,0,Y,,1,0,0,Unaccompanied,0.1667,1.0
100122,0.2174,0,N,0.0234,1,0,0,Unaccompanied,0.5833,0.0
100126,0.0168,0,Y,,0,0,0,Family,0.0417,0.0
100133,,0,N,,1,0,0,Unaccompanied,,
100134,,0,N,,1,0,0,Unaccompanied,,0.0
100138,0.3309,0,N,0.0722,1,0,0,Unaccompanied,0.625,0.0
100139,0.0914,0,N,0.0,1,0,0,Family,0.1667,0.0
100143,0.1765,0,Y,0.0271,0,0,0,Unaccompanied,0.4583,0.0
100148,0.0504,0,Y,,1,0,0,Family,0.125,0.0
100153,,0,Y,,1,0,0,Family,,0.0
100156,0.0294,0,N,0.0333,1,0,0,Family,0.125,0.0
100157,,0,Y,,0,0,0,Unaccompanied,,0.0
