SK_ID_CURR,FLAG_DOCUMENT_21,FLAG_PHONE,YEARS_BUILD_AVG,COMMONAREA_AVG,LIVE_CITY_NOT_WORK_CITY,REG_CITY_NOT_LIVE_CITY,LIVINGAPARTMENTS_MEDI,FLAG_DOCUMENT_10,FLAG_DOCUMENT_17,AMT_GOODS_PRICE
225383,0,1,,,0,0,,0,0,679500€
225385,0,0,,,0,0,,0,0,900000€
225387,0,0,,,0,0,,0,0,121500€
225388,0,1,,,0,0,,0,0,945000€
225393,0,0,,,1,0,,0,0,931500€
225398,0,0,0.8844,0.0207,0,0,0.0137,0,0,477000€
225404,0,0,,,0,0,,0,0,135000€
225405,0,1,0.7892,0.0,0,0,0.077,0,0,360000€
225411,0,0,,,0,0,,0,0,765000€
225419,0,1,,,0,0,,0,0,675000€
225420,0,1,0.6532,0.0028,0,0,0.0274,0,0,225000€
225421,0,0,0.8096,0.0368,1,1,0.0257,0,0,1350000€
225422,0,1,,,0,0,,0,0,450000€
225424,0,0,,,0,0,,0,0,180000€
225429,0,0,,,0,0,,0,0,319500€
225433,0,0,0.83,0.0821,0,0,0.345,0,0,225000€
225436,0,0,,,0,0,,0,0,454500€
225437,0,1,,,1,0,,0,0,540000€
225441,0,1,,,0,0,,0,0,450000€
225442,0,0,,,0,0,,0,0,225000€
225445,0,1,0.8504,0.0325,0,0,0.1283,0,0,1363500€
225449,0,1,,,1,0,,0,0,679500€
225450,0,0,0.8368,1.0,0,0,0.3745,0,0,450000€
225451,0,0,,,1,0,,0,0,675000€
225457,0,1,0.8368,0.0614,0,0,0.0855,0,0,675000€
225458,0,0,,,1,0,,0,0,675000€
225479,0,1,,,0,0,,0,0,225000€
225488,0,0,,,0,1,,0,0,495000€
225493,0,0,0.8232,0.0149,0,0,0.0923,0,0,540000€
225495,0,1,,,0,0,,0,0,229500€
225498,0,0,,,0,0,,0,0,391500€
225502,0,1,0.6396,0.0031,0,0,0.0257,0,0,450000€
225504,0,0,,,0,1,,0,0,459000€
225505,0,0,,,0,0,,0,0,900000€
225506,0,0,,,0,1,,0,0,157500€
225508,0,0,0.7484,0.0142,0,0,0.0757,0,0,472500€
225511,0,0,0.6736,0.0783,0,0,0.1018,0,0,360000€
225516,0,1,0.7892,0.2323,0,0,0.1248,0,0,454500€
225519,0,0,0.7416,0.0089,0,0,0.0581,0,0,472500€
225527,0,0,,,1,0,,0,0,333000€
225528,0,1,0.9388,0.023,0,0,0.1171,0,0,495000€
225529,0,1,,0.0153,1,0,,0,0,720000€
225542,0,0,,,0,0,,0,0,148500€
225543,0,0,0.8504,0.0223,1,0,0.0855,0,0,270000€
225547,0,0,,,0,0,,0,0,675000€
225558,0,0,,,0,0,,0,0,450000€
225563,0,0,,,1,0,,0,0,450000€
225565,0,0,,,0,0,,0,0,675000€
225569,0,0,,,0,0,,0,0,472500€
225574,0,1,,,0,0,,0,0,270000€
225579,0,0,0.7552,0.0,0,0,0.1223,0,0,1350000€
225591,0,1,,,0,0,,0,0,450000€
225592,0,0,,,0,0,,0,0,679500€
225593,0,0,,,0,0,,0,0,1125000€
225605,0,0,,,0,1,,0,0,1273500€
225607,0,0,0.7076,0.0,0,0,0.1018,0,0,504000€
225615,0,0,,,0,0,,0,0,697500€
225616,0,0,,,1,0,,0,0,450000€
225622,0,0,0.7348,0.0188,0,0,0.1095,0,0,450000€
225623,0,0,,,1,0,,0,0,225000€
225628,0,0,0.9184,0.0,0,0,0.2121,0,0,1125000€
225630,0,1,,,1,0,,0,0,1350000€
225632,0,1,0.7959999999999999,0.0513,1,0,0.1223,0,0,1354500€
225633,0,0,0.8368,0.1566,0,0,0.3395,0,0,225000€
225634,0,1,,,1,0,,0,0,450000€
225635,0,1,0.9456,0.0266,0,0,0.0274,0,0,900000€
225640,0,0,,,1,0,,0,0,900000€
225641,0,1,0.7688,0.0061,0,0,0.0556,0,0,675000€
225647,0,0,0.9864,0.0042,1,0,0.0282,0,0,418500€
225648,0,0,0.6872,0.0044,0,0,0.0547,0,0,585000€
225649,0,0,,,1,0,,0,0,900000€
225656,0,1,,,1,0,,0,0,945000€
225659,0,0,,,0,0,,0,0,315000€
225669,0,1,,,0,0,,0,0,450000€
225674,0,0,,,0,0,,0,0,256500€
225679,0,0,,,0,1,,0,0,180000€
225680,0,1,,,0,0,,0,0,540000€
225684,0,0,,,1,0,,0,0,540000€
225693,0,1,,,0,0,,0,0,166500€
225694,0,0,,,0,0,,0,0,450000€
225695,0,0,,,1,1,,0,0,675000€
225696,0,0,,,0,0,,0,0,720000€
225699,0,0,0.9116,0.0697,0,0,0.0684,0,0,900000€
225700,0,0,,,1,0,,0,0,463500€
225702,0,0,,,0,0,,0,0,463500€
225703,0,0,,,1,1,,0,0,517500€
225704,0,0,,,0,0,,0,0,252000€
225710,0,0,,,0,0,,0,0,1372500€
